outcome	gene_name	exposure	method	nsnp	b	se	pval	tissue	adjusted_pval	gene_chr	gene_start	gene_end
genus..Clostridiuminnocuumgroup.id.14397	KLRF1	ENSG00000150045.11	Inverse variance weighted	39	0.0682048689209495	0.0198412657812788	0.000587054146219144	Transverse	0.0443358116195803	chr12	9827481	9845007
genus..Clostridiuminnocuumgroup.id.14397	KLRG1	ENSG00000139187.9	Inverse variance weighted	79	0.0787855597848373	0.0146319291798889	7.26480396817946e-08	Transverse	3.11825408763638e-05	chr12	8950044	9010760
genus..Clostridiuminnocuumgroup.id.14397	LINC00937	ENSG00000226091.7	Inverse variance weighted	48	-0.0747392221797663	0.0121513424377938	7.71433044547046e-10	Transverse	5.01575744928025e-07	chr12	8295986	8396803
genus..Clostridiuminnocuumgroup.id.14397	LPCAT3	ENSG00000111684.10	Inverse variance weighted	19	0.340637802043658	0.0576351157153751	3.41593968115252e-09	Transverse	1.9705146753974e-06	chr12	6980707	7018510
genus..Clostridiuminnocuumgroup.id.14397	LRRC23	ENSG00000010626.14	Inverse variance weighted	92	0.0717848925135233	0.00645276984966366	9.5164396481291e-29	Transverse	2.28393663827519e-25	chr12	6904733	6914243
genus..Clostridiuminnocuumgroup.id.14397	M6PR	ENSG00000003056.7	Inverse variance weighted	33	-0.108301166809324	0.0267398795228532	5.11795469355954e-05	Transverse	0.0077047528707098	chr12	8941468	8949955
genus..Clostridiuminnocuumgroup.id.14397	NECAP1	ENSG00000089818.17	Inverse variance weighted	25	0.106356494249671	0.0282921051627665	0.000170437973179718	Transverse	0.0187714517558667	chr12	8076939	8097859
genus..Clostridiuminnocuumgroup.id.14397	RP11-22B23.1	ENSG00000111788.10	Inverse variance weighted	229	-0.0307775159541879	0.00313069848615829	8.28926141974691e-23	Transverse	1.47486368520821e-19	chr12	9277235	9313241
genus..Clostridiuminnocuumgroup.id.14397	RP11-266K4.9	ENSG00000215241.3	Inverse variance weighted	8	-0.111938861998524	0.0263767084355244	2.1971472642058e-05	Transverse	0.00401848191503237	chr12	8235519	8242564
genus..Clostridiuminnocuumgroup.id.14397	RP11-273B20.1	ENSG00000256967.1	Inverse variance weighted	46	0.0614619499356635	0.0130362567735545	2.4207533012269e-06	Transverse	0.000657873654363954	chr12	7129079	7131198
genus..Clostridiuminnocuumgroup.id.14397	RP11-328C8.4	ENSG00000257225.1	Inverse variance weighted	4	-0.147612958899076	0.0287755286884647	2.90036694420093e-07	Transverse	0.000106606728737052	chr12	42460666	42466128
genus..Clostridiuminnocuumgroup.id.14397	RP11-585P4.5	ENSG00000257497.2	Inverse variance weighted	4	0.100120576908862	0.0219981982703466	5.33134227329489e-06	Transverse	0.00127015687446156	chr12	75483454	75489820
genus..Clostridiuminnocuumgroup.id.14397	RP11-599J14.2	ENSG00000256673.1	Inverse variance weighted	293	-0.0863944689385865	0.00475693837073	1.03609895662937e-73	Transverse	1.55886844130203e-69	chr12	9398355	9414851
genus..Clostridiuminnocuumgroup.id.14397	RP11-705C15.2	ENSG00000256594.7	Inverse variance weighted	257	0.0256783981570964	0.00703529235156196	0.000262301108117933	Transverse	0.0254841459142305	chr12	9617284	9658412
genus..Clostridiuminnocuumgroup.id.14397	RP11-726G1.1	ENSG00000214776.10	Inverse variance weighted	272	0.0429226777570151	0.00240531156123019	3.16355092747278e-71	Transverse	4.32933627164505e-67	chr12	9467552	9576275
genus..Clostridiuminnocuumgroup.id.14397	RP13-735L24.1	ENSG00000260423.1	Inverse variance weighted	240	-0.0306657199976309	0.00501435974011991	9.62061799371708e-10	Transverse	6.14494284211901e-07	chr12	9367464	9397617
genus..Clostridiuminnocuumgroup.id.14397	SLC2A14	ENSG00000173262.11	Inverse variance weighted	21	-0.0529346211545849	0.0116754840300588	5.79245618193496e-06	Transverse	0.0013607068455184	chr12	7812512	7891148
genus..Clostridiuminnocuumgroup.id.14397	SPSB2	ENSG00000111671.9	Inverse variance weighted	85	0.0593436203708811	0.0053677674082066	2.06070131693765e-28	Transverse	4.84178241205846e-25	chr12	6870949	6889358
genus..Eubacteriumbrachygroup.id.11296	A2M	ENSG00000175899.14	Inverse variance weighted	99	0.134469807348778	0.0124096060216906	2.3255200372467e-27	Transverse	5.21173754061667e-24	chr12	9068183	9116229
genus..Eubacteriumbrachygroup.id.11296	A2MP1	ENSG00000256069.7	Inverse variance weighted	282	0.0246198042490792	0.00301853163057873	3.45676163455085e-16	Transverse	4.22695901414262e-13	chr12	9228533	9275817
genus..Eubacteriumbrachygroup.id.11296	ADAM1B	ENSG00000226469.1	Inverse variance weighted	10	0.0756535730677922	0.0195455958395434	0.000108558927266191	Transverse	0.0135496687760726	chr12	111927018	111929017
genus..Eubacteriumbrachygroup.id.11296	C1RL	ENSG00000139178.10	Inverse variance weighted	6	-0.291368786773466	0.0567987322386666	2.89978296429805e-07	Transverse	0.000106606728737052	chr12	7093640	7109273
genus..Eubacteriumbrachygroup.id.11296	C1RL-AS1	ENSG00000205885.7	Inverse variance weighted	16	-0.125375730161276	0.0348351161688383	0.000319297003360189	Transverse	0.0292655553001447	chr12	7108052	7122501
genus..Eubacteriumbrachygroup.id.11296	CDCA3	ENSG00000111665.11	Inverse variance weighted	26	0.133377066707018	0.0354595981458546	0.000168977657852894	Transverse	0.0186497373921045	chr12	6844793	6852066
genus..Eubacteriumbrachygroup.id.11296	CLEC2D	ENSG00000069493.14	Inverse variance weighted	255	-0.0804081686434335	0.00956918448706536	4.35869413905209e-17	Transverse	5.65222010786886e-14	chr12	9664969	9699555
genus..Eubacteriumbrachygroup.id.11296	CLECL1	ENSG00000184293.7	Inverse variance weighted	100	0.1659630346043	0.0126294643964356	1.91828687134201e-39	Transverse	7.08084545153517e-36	chr12	9715860	9733299
genus..Eubacteriumbrachygroup.id.11296	CLSTN3	ENSG00000139182.13	Inverse variance weighted	26	-0.147322613116747	0.0255890325504095	8.54921730929573e-09	Transverse	4.51914815217195e-06	chr12	7130253	7158945
genus..Eubacteriumbrachygroup.id.11296	CTD-2318O12.1	ENSG00000278635.1	Inverse variance weighted	209	0.0435864410852591	0.00485246135822985	2.65076544537588e-19	Transverse	3.90823084825708e-16	chr12	9415641	9416718
genus..Eubacteriumbrachygroup.id.11296	FAM86FP	ENSG00000164845.16	Inverse variance weighted	67	0.032467717687733	0.00658700819460005	8.26288256547721e-07	Transverse	0.000264312590272711	chr12	8232512	8242948
genus..Eubacteriumbrachygroup.id.11296	GNB3	ENSG00000111664.10	Inverse variance weighted	96	0.0506818057883386	0.0108161754738599	2.78947718184549e-06	Transverse	0.000740327934668894	chr12	6840211	6847393
genus..Eubacteriumbrachygroup.id.11296	KLRG1	ENSG00000139187.9	Inverse variance weighted	79	0.160055699212607	0.0149204275298109	7.5789147151634e-27	Transverse	1.65385546989188e-23	chr12	8950044	9010760
genus..Eubacteriumbrachygroup.id.11296	LINC00937	ENSG00000226091.7	Inverse variance weighted	48	0.0585264158151053	0.0127605761112931	4.50732741147905e-06	Transverse	0.00110631624603885	chr12	8295986	8396803
genus..Eubacteriumbrachygroup.id.11296	NECAP1	ENSG00000089818.17	Inverse variance weighted	25	-0.111665590741318	0.028987515942115	0.000117063298618066	Transverse	0.0143166461021806	chr12	8076939	8097859
genus..Eubacteriumbrachygroup.id.11296	P3H3	ENSG00000110811.19	Inverse variance weighted	14	0.330821720150021	0.0538130003635758	7.86556384907856e-10	Transverse	5.102482101682e-07	chr12	6828410	6839851
genus..Eubacteriumbrachygroup.id.11296	RP11-22B23.1	ENSG00000111788.10	Inverse variance weighted	229	0.025000354452536	0.0031966443190595	5.24836516686315e-15	Transverse	5.96156353980302e-12	chr12	9277235	9313241
genus..Eubacteriumbrachygroup.id.11296	RP11-273B20.1	ENSG00000256967.1	Inverse variance weighted	46	-0.102590131847377	0.0160221113485113	1.52318748956313e-10	Transverse	1.09740732043493e-07	chr12	7129079	7131198
genus..Eubacteriumbrachygroup.id.11296	RP11-599J14.2	ENSG00000256673.1	Inverse variance weighted	293	0.0397569744277199	0.00484000782743121	2.13516389068416e-16	Transverse	2.65634831059637e-13	chr12	9398355	9414851
genus..Eubacteriumbrachygroup.id.11296	RP11-705C15.2	ENSG00000256594.7	Inverse variance weighted	257	-0.109954181133248	0.0071476676550152	2.12113274187457e-53	Transverse	1.38508352968718e-49	chr12	9617284	9658412
genus..Eubacteriumbrachygroup.id.11296	RP13-735L24.1	ENSG00000260423.1	Inverse variance weighted	240	0.0536020565726212	0.00510564159011986	8.76765549523022e-26	Transverse	1.84291963901743e-22	chr12	9367464	9397617
genus..Eubacteriumbrachygroup.id.11296	SLC2A14	ENSG00000173262.11	Inverse variance weighted	21	0.0539241272525982	0.0120673387323052	7.87326729785786e-06	Transverse	0.00175006310843313	chr12	7812512	7891148
genus..Eubacteriumcoprostanoligenesgroup.id.11375	A2M	ENSG00000175899.14	Inverse variance weighted	100	-0.0253058446952899	0.00595585767970664	2.14822622060303e-05	Transverse	0.00394668304634766	chr12	9068183	9116229
genus..Eubacteriumcoprostanoligenesgroup.id.11375	A2MP1	ENSG00000256069.7	Inverse variance weighted	282	0.0112092723932861	0.00145190747921122	1.15986579093796e-14	Transverse	1.28846766332784e-11	chr12	9228533	9275817
genus..Eubacteriumcoprostanoligenesgroup.id.11375	ATN1	ENSG00000111676.14	Inverse variance weighted	85	0.132716287186936	0.0110248097540057	2.24420325874051e-33	Transverse	6.84107073703199e-30	chr12	6924463	6942321
genus..Eubacteriumcoprostanoligenesgroup.id.11375	C12orf57	ENSG00000111678.10	Inverse variance weighted	81	0.0564364730668481	0.00494458258987869	3.56797283426986e-30	Transverse	9.39574700949965e-27	chr12	6943433	6946003
genus..Eubacteriumcoprostanoligenesgroup.id.11375	CDCA3	ENSG00000111665.11	Inverse variance weighted	26	0.144760808206611	0.0170845392120758	2.38731297621851e-17	Transverse	3.14712417665638e-14	chr12	6844793	6852066
genus..Eubacteriumcoprostanoligenesgroup.id.11375	CLEC2D	ENSG00000069493.14	Inverse variance weighted	255	0.083257429660423	0.0050365010420213	2.20173835784684e-61	Transverse	1.92020692531687e-57	chr12	9664969	9699555
genus..Eubacteriumcoprostanoligenesgroup.id.11375	CLECL1	ENSG00000184293.7	Inverse variance weighted	100	-0.0639301454596881	0.006087672646513	8.49515358267205e-26	Transverse	1.7871010781654e-22	chr12	9715860	9733299
genus..Eubacteriumcoprostanoligenesgroup.id.11375	CTD-2318O12.1	ENSG00000278635.1	Inverse variance weighted	209	-0.0282065574000334	0.0023320618471875	1.12084506352631e-33	Transverse	3.47433610962633e-30	chr12	9415641	9416718
genus..Eubacteriumcoprostanoligenesgroup.id.11375	DDX12P	ENSG00000214826.5	Inverse variance weighted	240	0.041918412197152	0.00397596595646407	5.47536287155029e-26	Transverse	1.16133213868886e-22	chr12	9418673	9448229
genus..Eubacteriumcoprostanoligenesgroup.id.11375	KLRG1	ENSG00000139187.9	Inverse variance weighted	79	0.0382870810124631	0.00718368838150561	9.83617839735792e-08	Transverse	4.08102264456354e-05	chr12	8950044	9010760
genus..Eubacteriumcoprostanoligenesgroup.id.11375	LINC00937	ENSG00000226091.7	Inverse variance weighted	49	0.0308704038328549	0.00594511154968424	2.07411606057539e-07	Transverse	7.96219794014885e-05	chr12	8295986	8396803
genus..Eubacteriumcoprostanoligenesgroup.id.11375	LRRC23	ENSG00000010626.14	Inverse variance weighted	92	-0.0374456456530848	0.00316642283419398	2.86978475699903e-32	Transverse	8.47686971866766e-29	chr12	6904733	6914243
genus..Eubacteriumcoprostanoligenesgroup.id.11375	M6PR	ENSG00000003056.7	Inverse variance weighted	33	0.0494075170330744	0.0131210462328907	0.000166205098640329	Transverse	0.0184426332093117	chr12	8941468	8949955
genus..Eubacteriumcoprostanoligenesgroup.id.11375	MAPKAPK5	ENSG00000089022.13	Inverse variance weighted	12	-0.182713539171003	0.0308213031215577	3.06352598844853e-09	Transverse	1.77999300537952e-06	chr12	111843103	111902238
genus..Eubacteriumcoprostanoligenesgroup.id.11375	NAA25	ENSG00000111300.9	Inverse variance weighted	6	0.271990374929022	0.0401164434681775	1.20157466824168e-11	Transverse	1.00598740341865e-08	chr12	112026689	112109022
genus..Eubacteriumcoprostanoligenesgroup.id.11375	P3H3	ENSG00000110811.19	Inverse variance weighted	14	0.1911560311568	0.0260722482049964	2.27112904819128e-13	Transverse	2.28336776236657e-10	chr12	6828410	6839851
genus..Eubacteriumcoprostanoligenesgroup.id.11375	RP11-599J14.2	ENSG00000256673.1	Inverse variance weighted	293	-0.0342436133164185	0.00232766636262644	5.43366746583578e-49	Transverse	2.90637948428849e-45	chr12	9398355	9414851
genus..Eubacteriumcoprostanoligenesgroup.id.11375	RP11-705C15.2	ENSG00000256594.7	Inverse variance weighted	257	0.0768025365447722	0.0034428043799798	3.08092108113678e-110	Transverse	1.68650275496551e-105	chr12	9617284	9658412
genus..Eubacteriumcoprostanoligenesgroup.id.11375	RP11-977G19.11	ENSG00000257303.1	Inverse variance weighted	2	-0.0974437638720084	0.0270777770689491	0.000319858738788416	Transverse	0.0292996229956198	chr12	56300142	56314808
genus..Eubacteriumcoprostanoligenesgroup.id.11375	RP11-981P6.1	ENSG00000258302.2	Inverse variance weighted	3	-0.0800340476832073	0.0206445023067312	0.00010585105977818	Transverse	0.0132909979544511	chr12	89561129	89594878
genus..Eubacteriumcoprostanoligenesgroup.id.11375	RP13-735L24.1	ENSG00000260423.1	Inverse variance weighted	240	-0.0551435344812841	0.00245053478312262	3.90961613664907e-112	Transverse	2.28605029550213e-107	chr12	9367464	9397617
genus..Eubacteriumcoprostanoligenesgroup.id.11375	RP4-605O3.4	ENSG00000272368.2	Inverse variance weighted	4	-0.0586147961608081	0.0146444056142159	6.26664865448982e-05	Transverse	0.00899607800010315	chr12	50123364	50165618
genus..Eubacteriumcoprostanoligenesgroup.id.11375	SPSB2	ENSG00000111671.9	Inverse variance weighted	85	-0.0311083468694726	0.00263454440091743	3.55469658213965e-32	Transverse	1.0463944873642e-28	chr12	6870949	6889358
genus..Eubacteriumcoprostanoligenesgroup.id.11375	ZNF641	ENSG00000167528.12	Inverse variance weighted	4	0.158534655393233	0.0345482403921803	4.45820454150943e-06	Transverse	0.001096036699699	chr12	48337180	48351414
genus..Eubacteriumeligensgroup.id.14372	A2MP1	ENSG00000256069.7	Inverse variance weighted	282	0.0110362845859592	0.00157477771680601	2.41483118324312e-12	Transverse	2.19380420901697e-09	chr12	9228533	9275817
genus..Eubacteriumeligensgroup.id.14372	ALDH2	ENSG00000111275.12	Inverse variance weighted	8	0.124621779303789	0.0232923221232555	8.77904608828788e-08	Transverse	3.69243779393267e-05	chr12	111766887	111817529
genus..Eubacteriumeligensgroup.id.14372	ATP23	ENSG00000166896.7	Inverse variance weighted	8	0.0893766967738845	0.0177651619612716	4.87904229692368e-07	Transverse	0.000167414660324117	chr12	57941541	57957269
genus..Eubacteriumeligensgroup.id.14372	CLEC2D	ENSG00000069493.14	Inverse variance weighted	255	0.0436909964947602	0.00501021498828884	2.77260905659658e-18	Transverse	3.86212282334657e-15	chr12	9664969	9699555
genus..Eubacteriumeligensgroup.id.14372	CLECL1	ENSG00000184293.7	Inverse variance weighted	100	0.0710086519026434	0.00660103554755466	5.48109570857251e-27	Transverse	1.20424493834827e-23	chr12	9715860	9733299
genus..Eubacteriumeligensgroup.id.14372	CTD-2318O12.1	ENSG00000278635.1	Inverse variance weighted	209	0.0236370612627583	0.00253259993890173	1.027985298667e-20	Transverse	1.64579358839917e-17	chr12	9415641	9416718
genus..Eubacteriumeligensgroup.id.14372	FAM86FP	ENSG00000164845.16	Inverse variance weighted	69	-0.0340969093920787	0.00335534878017906	2.9313319184429e-24	Transverse	5.63654816625613e-21	chr12	8232512	8242948
genus..Eubacteriumeligensgroup.id.14372	FAM90A1	ENSG00000171847.10	Inverse variance weighted	11	-0.0437943189078119	0.011500770884654	0.000140125643767784	Transverse	0.0163290993309773	chr12	8221260	8227618
genus..Eubacteriumeligensgroup.id.14372	KLRG1	ENSG00000139187.9	Inverse variance weighted	79	-0.0379843816279258	0.00779225826410141	1.09012173140721e-06	Transverse	0.000334924085185951	chr12	8950044	9010760
genus..Eubacteriumeligensgroup.id.14372	LINC00937	ENSG00000226091.7	Inverse variance weighted	49	-0.0578202706573842	0.00647730654085672	4.39335438718948e-19	Transverse	6.36440215868087e-16	chr12	8295986	8396803
genus..Eubacteriumeligensgroup.id.14372	MAPKAPK5	ENSG00000089022.13	Inverse variance weighted	12	-0.158354886865896	0.0451830414956634	0.000457050591587657	Transverse	0.0373383034811167	chr12	111843103	111902238
genus..Eubacteriumeligensgroup.id.14372	MAPKAPK5-AS1	ENSG00000234608.7	Inverse variance weighted	8	-0.151749473664237	0.0425196534881552	0.000358448389759899	Transverse	0.0316777168886309	chr12	111839764	111842902
genus..Eubacteriumeligensgroup.id.14372	RP11-22B23.1	ENSG00000111788.10	Inverse variance weighted	237	0.00745224388143438	0.00165756148467445	6.92736975892251e-06	Transverse	0.0015755540701961	chr12	9277235	9313241
genus..Eubacteriumeligensgroup.id.14372	RP11-266K4.13	ENSG00000276417.1	Inverse variance weighted	6	0.0772468701701967	0.0218251039808813	0.000401100536668739	Transverse	0.0341919568515279	chr12	8205984	8207397
genus..Eubacteriumeligensgroup.id.14372	RP11-599J14.2	ENSG00000256673.1	Inverse variance weighted	293	0.0326755043487618	0.00252971125842936	3.62383503380936e-38	Transverse	1.28421026675405e-34	chr12	9398355	9414851
genus..Eubacteriumeligensgroup.id.14372	RP11-705C15.2	ENSG00000256594.7	Inverse variance weighted	257	-0.0152377006205821	0.00401386911932072	0.000146893985761064	Transverse	0.016887590045409	chr12	9617284	9658412
genus..Eubacteriumeligensgroup.id.14372	SLC2A14	ENSG00000173262.11	Inverse variance weighted	21	0.0447063378781519	0.00622371820723893	6.80883396559072e-13	Transverse	6.50973613464591e-10	chr12	7812512	7891148
genus..Eubacteriumeligensgroup.id.14372	TSFM	ENSG00000123297.17	Inverse variance weighted	5	0.108809228102169	0.0300510685249727	0.000293681427907455	Transverse	0.0276041444142197	chr12	57782589	57808071
genus..Eubacteriumeligensgroup.id.14372	WASHC3	ENSG00000120860.10	Inverse variance weighted	3	0.107988023023687	0.0295293887294661	0.00025521645032382	Transverse	0.0250064106645068	chr12	102012927	102062149
genus..Eubacteriumfissicatenagroup.id.14373	A2M	ENSG00000175899.14	Inverse variance weighted	99	0.0668393424414476	0.012786205582841	1.71857163229152e-07	Transverse	6.72270626401596e-05	chr12	9068183	9116229
genus..Eubacteriumfissicatenagroup.id.14373	A2MP1	ENSG00000256069.7	Inverse variance weighted	282	0.0151688699448235	0.00308446382743318	8.75086820649198e-07	Transverse	0.00027784951515464	chr12	9228533	9275817
genus..Eubacteriumfissicatenagroup.id.14373	ALG10B	ENSG00000175548.8	Inverse variance weighted	10	-0.205329749983892	0.043518882041943	2.37968444606516e-06	Transverse	0.000648317219851078	chr12	38316578	38329728
genus..Eubacteriumfissicatenagroup.id.14373	CLEC2D	ENSG00000069493.14	Inverse variance weighted	251	0.0405819827281412	0.00997754372336979	4.75544718645693e-05	Transverse	0.00730086132238488	chr12	9664969	9699555
genus..Eubacteriumfissicatenagroup.id.14373	CLECL1	ENSG00000184293.7	Inverse variance weighted	100	0.185414495920166	0.0129323686669859	1.28044154156774e-46	Transverse	6.18068891881813e-43	chr12	9715860	9733299
genus..Eubacteriumfissicatenagroup.id.14373	CTD-2318O12.1	ENSG00000278635.1	Inverse variance weighted	209	-0.0225790431749935	0.00499367900442674	6.13957818684859e-06	Transverse	0.00142742141364018	chr12	9415641	9416718
genus..Eubacteriumfissicatenagroup.id.14373	DDX12P	ENSG00000214826.5	Inverse variance weighted	235	0.0775499238638962	0.00850183054488171	7.40533168657454e-20	Transverse	1.12337047817819e-16	chr12	9418673	9448229
genus..Eubacteriumfissicatenagroup.id.14373	FAM86FP	ENSG00000164845.16	Inverse variance weighted	67	0.0330898073994842	0.00940225137229476	0.000432606621956229	Transverse	0.0359730443084281	chr12	8232512	8242948
genus..Eubacteriumfissicatenagroup.id.14373	FAM90A1	ENSG00000171847.10	Inverse variance weighted	10	0.127574731736492	0.0236159604774594	6.58815183753754e-08	Transverse	2.86074787613472e-05	chr12	8221260	8227618
genus..Eubacteriumfissicatenagroup.id.14373	LINC00612	ENSG00000214851.4	Inverse variance weighted	13	-0.120921270588911	0.0259158375559221	3.0723658741064e-06	Transverse	0.000802004078453958	chr12	9055586	9065070
genus..Eubacteriumfissicatenagroup.id.14373	LINC00937	ENSG00000226091.7	Inverse variance weighted	48	0.100599380927229	0.0131770252645407	2.26781085410543e-14	Transverse	2.47124146011601e-11	chr12	8295986	8396803
genus..Eubacteriumfissicatenagroup.id.14373	M6PR	ENSG00000003056.7	Inverse variance weighted	33	0.138074651508525	0.0276440478660267	5.89170735687068e-07	Transverse	0.000197012292314574	chr12	8941468	8949955
genus..Eubacteriumfissicatenagroup.id.14373	NECAP1	ENSG00000089818.17	Inverse variance weighted	25	0.157775778209343	0.0298330238279243	1.23236940349429e-07	Transverse	5.00177895191051e-05	chr12	8076939	8097859
genus..Eubacteriumfissicatenagroup.id.14373	OGFOD2	ENSG00000111325.16	Inverse variance weighted	4	-0.450934311115497	0.132714958467705	0.000679386212669526	Transverse	0.0488381685972068	chr12	122974683	122978897
genus..Eubacteriumfissicatenagroup.id.14373	RP11-150C16.1	ENSG00000257443.1	Inverse variance weighted	2	0.246983224466771	0.0646031182356032	0.000131792220734097	Transverse	0.0156172248976853	chr12	58920639	59064238
genus..Eubacteriumfissicatenagroup.id.14373	RP11-22B23.1	ENSG00000111788.10	Inverse variance weighted	229	0.0168668451047997	0.00327086557555248	2.51351246856557e-07	Transverse	9.41164276524642e-05	chr12	9277235	9313241
genus..Eubacteriumfissicatenagroup.id.14373	RP11-266K4.9	ENSG00000215241.3	Inverse variance weighted	8	0.133769137808798	0.0285527023760643	2.79972993372102e-06	Transverse	0.000742436319952392	chr12	8235519	8242564
genus..Eubacteriumfissicatenagroup.id.14373	RP11-273B20.1	ENSG00000256967.1	Inverse variance weighted	46	-0.0545789751863788	0.0146174941265879	0.000188603287950133	Transverse	0.0201895919616053	chr12	7129079	7131198
genus..Eubacteriumfissicatenagroup.id.14373	RP11-705C15.2	ENSG00000256594.7	Inverse variance weighted	254	-0.0265315334547489	0.00740215419917571	0.000337984804704556	Transverse	0.0304725233282813	chr12	9617284	9658412
genus..Eubacteriumfissicatenagroup.id.14373	RP11-996F15.2	ENSG00000257176.2	Inverse variance weighted	6	-0.0735715221599564	0.0170525414891941	1.60035375374508e-05	Transverse	0.00311801041439344	chr12	29280418	29317848
genus..Eubacteriumfissicatenagroup.id.14373	RP11-996F15.4	ENSG00000275476.1	Inverse variance weighted	5	-0.103738323342814	0.0246195076035838	2.51261422222228e-05	Transverse	0.00446222733815922	chr12	29277397	29277882
genus..Eubacteriumhalliigroup.id.11338	A2MP1	ENSG00000256069.7	Inverse variance weighted	282	-0.0220388513897879	0.00148693398089889	1.06106119348327e-49	Transverse	5.78366022877505e-46	chr12	9228533	9275817
genus..Eubacteriumhalliigroup.id.11338	ATN1	ENSG00000111676.14	Inverse variance weighted	85	0.0553922281053988	0.0112876963696496	9.2333912769824e-07	Transverse	0.000290623645014773	chr12	6924463	6942321
genus..Eubacteriumhalliigroup.id.11338	C12orf57	ENSG00000111678.10	Inverse variance weighted	81	0.0250600521622392	0.00506463534118081	7.49619281445486e-07	Transverse	0.000243204664704935	chr12	6943433	6946003
genus..Eubacteriumhalliigroup.id.11338	CLEC4D	ENSG00000166527.7	Inverse variance weighted	68	-0.0302760935651866	0.00619377084855223	1.01786913542802e-06	Transverse	0.000315856173312973	chr12	8509475	8522366
genus..Eubacteriumhalliigroup.id.11338	CLECL1	ENSG00000184293.7	Inverse variance weighted	100	-0.0423277594929277	0.00623172376264516	1.10357029637378e-11	Transverse	9.28654147788796e-09	chr12	9715860	9733299
genus..Eubacteriumhalliigroup.id.11338	CTD-2318O12.1	ENSG00000278635.1	Inverse variance weighted	209	-0.0463928061717587	0.00238934541415898	5.5940442319821e-84	Transverse	1.09864893584742e-79	chr12	9415641	9416718
genus..Eubacteriumhalliigroup.id.11338	FAM90A1	ENSG00000171847.10	Inverse variance weighted	11	0.0478307882112808	0.0108481196434563	1.03785898214812e-05	Transverse	0.0021913772758973	chr12	8221260	8227618
genus..Eubacteriumhalliigroup.id.11338	GOLGA2P5	ENSG00000238105.7	Inverse variance weighted	3	-0.222305373318559	0.0443117896185113	5.25269531450096e-07	Transverse	0.000178192009206157	chr12	100156412	100173195
genus..Eubacteriumhalliigroup.id.11338	LINC00937	ENSG00000226091.7	Inverse variance weighted	49	0.0405811362273557	0.00612135916160558	3.3698031159055e-11	Transverse	2.66026258317598e-08	chr12	8295986	8396803
genus..Eubacteriumhalliigroup.id.11338	LRRC23	ENSG00000010626.14	Inverse variance weighted	92	-0.0174597889665323	0.00324347825670888	7.32362756752211e-08	Transverse	3.14245426441715e-05	chr12	6904733	6914243
